config,selected_generators,num_search_qubits,dimension,seed,train_sample_count,exclude_hidden_optimum_from_training,exclude_hidden_optimum_from_initial,training_contains_hidden_optimum,initial_matches_hidden_optimum,hidden_best_bitstring,hidden_best_true_cost,initial_bitstring,initial_true_cost,final_bitstring,final_true_cost,found_hidden_exact_optimum,algorithmic_ed_lp_calls,hidden_reference_ed_lp_calls,circuit_executions,total_shots,max_qubits,max_circuit_depth,max_transpiled_depth,status,error
"0,1","[0, 1]",4,16,9,4,True,True,False,False,1100,33223.5533,0011,40544.87922298824,1100,33223.5533,True,11,16,28,56000,14,56,96,ok,
"0,1","[0, 1]",4,16,10,4,True,True,False,False,1100,33223.5533,0100,46008.08335882357,1100,33223.5533,True,14,16,18,36000,18,56,496,ok,
"0,1","[0, 1]",4,16,11,4,True,True,False,False,1100,33223.5533,0000,46579.28972722357,1100,33223.5533,True,9,16,19,38000,14,56,96,ok,
"0,1","[0, 1]",4,16,12,4,True,True,False,False,1100,33223.5533,0100,46008.08335882357,1100,33223.5533,True,13,16,13,26000,18,56,496,ok,
"0,1","[0, 1]",4,16,13,4,True,True,False,False,1100,33223.5533,0010,40544.87922298824,1000,35794.7596684,False,10,16,16,32000,18,56,496,ok,
"0,1","[0, 1]",4,16,14,4,True,True,False,False,1100,33223.5533,1011,39794.7596684,1011,39794.7596684,False,7,16,12,24000,18,38,335,ok,
"0,1","[0, 1]",4,16,15,4,True,True,False,False,1100,33223.5533,0000,46579.28972722357,1100,33223.5533,True,14,16,25,50000,18,56,504,ok,
"0,1","[0, 1]",4,16,16,4,True,True,False,False,1100,33223.5533,0110,39973.672854588236,1101,37223.5533,False,12,16,18,36000,22,56,496,ok,
"0,1","[0, 1]",4,16,17,4,True,True,False,False,1100,33223.5533,0110,39973.672854588236,1110,37223.5533,False,11,16,13,26000,18,38,345,ok,
"0,1","[0, 1]",4,16,18,4,True,True,False,False,1100,33223.5533,1000,35794.7596684,1100,33223.5533,True,10,16,13,26000,14,56,84,ok,
"0,1","[0, 1]",4,16,19,4,True,True,False,False,1100,33223.5533,0000,46579.28972722357,1110,37223.5533,False,12,16,13,26000,18,38,349,ok,
"0,1","[0, 1]",4,16,0,6,True,True,False,False,1100,33223.5533,0111,39973.672854588236,1100,33223.5533,True,10,16,13,26000,18,38,332,ok,
"0,1","[0, 1]",4,16,1,6,True,True,False,False,1100,33223.5533,1110,37223.5533,1110,37223.5533,False,11,16,12,24000,18,56,496,ok,
"0,1","[0, 1]",4,16,2,6,True,True,False,False,1100,33223.5533,1101,37223.5533,1100,33223.5533,True,12,16,13,26000,14,38,53,ok,
"0,1","[0, 1]",4,16,3,6,True,True,False,False,1100,33223.5533,1110,37223.5533,1110,37223.5533,False,11,16,12,24000,14,38,59,ok,
"0,1","[0, 1]",4,16,4,6,True,True,False,False,1100,33223.5533,0110,39973.672854588236,1101,37223.5533,False,11,16,19,38000,18,56,496,ok,
"0,1","[0, 1]",4,16,5,6,True,True,False,False,1100,33223.5533,0110,39973.672854588236,1111,37223.5533,False,11,16,14,28000,14,56,102,ok,
"0,1","[0, 1]",4,16,6,6,True,True,False,False,1100,33223.5533,0101,50008.08335882357,1101,37223.5533,False,11,16,18,36000,14,56,120,ok,
"0,1","[0, 1]",4,16,7,6,True,True,False,False,1100,33223.5533,0111,39973.672854588236,1000,35794.7596684,False,11,16,13,26000,18,56,496,ok,
"0,1","[0, 1]",4,16,8,6,True,True,False,False,1100,33223.5533,0110,39973.672854588236,1100,33223.5533,True,13,16,16,32000,18,20,168,ok,
"0,1","[0, 1]",4,16,9,6,True,True,False,False,1100,33223.5533,0111,39973.672854588236,1100,33223.5533,True,13,16,27,54000,14,56,114,ok,
"0,1","[0, 1]",4,16,10,6,True,True,False,False,1100,33223.5533,0100,46008.08335882357,1100,33223.5533,True,11,16,18,36000,14,56,120,ok,
